nroInscricao,nota,data,cidade,nomeEscola
13893,353.9,26/11/2016,,FRANCISCO RIBEIRO CARRI
13595,472.2,,Salgueiro,ALFREDO GUEDES
13894,614.4,28/11/2016,Recife,JOAO DE MOURA GUIMARAES
13880,403.2,29/11/2016,Fortaleza,ANTONIO DIAS PASCHOAL P
13881,373.7,,Sao Jose da Tapera,DONIZETTI TAVARES DE LI
13882,394.8,01/12/2016,Sao Bernardo do Ca,JUSTINO GOMES DE CASTRO
13778,630.6,02/12/2016,,BENJAMIN BASTOS
13779,561.3,,Recife,GILBERTO GIRALDI
13780,,04/12/2016,,STELLA COUVERT RIBEIRO 
14687,622.7,05/12/2016,Coimbra,ALEXANDRE FLEMING
14515,466.4,06/12/2016,Rio de Janeiro,HILDA SILVA PROFESSORA
15988,396.5,07/12/2016,,GENY GOMES DONA
15989,450.2,08/12/2016,,JOAO GABRIEL RIBEIRO DO
15990,,09/12/2016,,CANDIDO RODRIGUES DOUTO
14011,552.1,10/12/2016,Sao Caetano do Sul,RITA DE MACEDO BARRETO 
14187,505.6,11/12/2016,Rio de Janeiro,JORGE LUIZ ABICHABKI PR
14012,,12/12/2016,Sao Paulo,EUCLIDES DA CUNHA
14188,520.8,13/12/2016,Barreiros,TARQUINIO COBRA OLYNTHO
14013,531.2,14/12/2016,,BARAO DE MONTE SANTO
14014,,15/12/2016,Amambai,OSCAR VILLARES
14345,440.5,16/12/2016,Manaus,BENEDITO FERRAZ BUENO P
14189,349.4,17/12/2016,,JOAO CID GODOY PROFESSO
14236,,18/12/2016,,RUBIAO JUNIOR DOUTOR
14237,455.8,,Tenente Ananias,EDUARDO VICENTE NASSER 
14299,543.5,,Recife,OSCAR WALDOMIRO DE VASC
16047,431.2,21/12/2016,Joao Pessoa,LAURO DE ARAUJO
16048,389.7,22/12/2016,Sao Jose dos Campo,CANDIDO LOBO DR
16049,563.2,23/12/2016,Rio de Janeiro,FRANCISCO EUGENIO DE LI
16050,362.9,24/12/2016,Rio de Janeiro,FRANCISCO NOGUEIRA DE L
14300,326.8,25/12/2016,Betim,FERNANDO MAGALHAES PROF
14346,409.5,26/12/2016,Mossoro,
14238,705.2,27/12/2016,Barreiras,FRANCISCO GARCIA ETE
13895,433.4,28/12/2016,Rio Grande,FRANCISCO THOMAZ DE CAR
13896,551.2,29/12/2016,Balneario Camboriu,FRANCISCO NAPOLEAO MAIA
14015,,30/12/2016,Curitiba,RAFAEL DE OLIVEIRA
13228,,31/12/2016,Auriflama,CECILIA ROLEMBERG PORTO
13394,,01/01/2017,,JOSE FELICIANO DE OLIVE
13338,587.1,02/01/2017,Vicosa,JOSE SILVA JUNIOR PROFE
13229,706.2,03/01/2017,Chapeco,MARIA DE LOURDES DE FRA
13230,593.5,04/01/2017,Porto Alegre,JOAQUIM ANTONIO LADEIRA
13395,341.2,05/01/2017,Rio de Janeiro,OSWALDO CAMARGO PIRES P
13396,569.3,06/01/2017,Chopinzinho,MARIA DE SAO LUIZ IRMA
13231,518.6,07/01/2017,Vitoria da Conquis,TIBURCIO ESTEVAM DE SIQ
13232,735,08/01/2017,Goiania,NATHANAEL SILVA PROFESS
13233,646.6,09/01/2017,Ituiutaba,GABRIEL PAULINO BUENO C
13170,541.4,,Recife,HONORIO HEINRICH BERNAR
13234,386.6,,Porto Alegre,ANTENOR SOARES GANDRA D
13235,,,,ALBERTO FERREIRA REZEND
13286,489.8,13/01/2017,Itabuna,ANA PINTO DUARTE PAES P
13171,,14/01/2017,Dom Feliciano,IVONY DE CAMARGO SALLES
13172,587.7,15/01/2017,Itabira,LUCIRIO VALLI EMEB
13236,466,16/01/2017,Rio de Janeiro,MANOEL JOSE DA FONSECA
13237,,,Sertaozinho,JOSE POLLI
13287,,18/01/2017,Joao Pinheiro,MANUEL EUCLIDES DE BRIT
13238,393.8,,Recife,ROSA PERRONE SCAVONE ET
13397,478.6,20/01/2017,,BENEDITA ARRUDA PROFESS
13173,363.7,21/01/2017,Miracatu,RANIERI MAZZILLI DEPUTA
13174,,,,SIQUEIRA DE MORAES CORO
13288,731,23/01/2017,Joao Pessoa,CONDE DO PARNAIBA
13239,538,,Campo Grande,BARAO DE JUNDIAI
13339,334.9,,Itapevi,ADONIRO LADEIRA PROFESS
13340,491.2,26/01/2017,,PAULO MENDES SILVA
13398,,27/01/2017,,RAFAEL MAURO DOUTOR
13444,549.7,28/01/2017,,ELOY DE MIRANDA CHAVES 
13175,397.8,29/01/2017,,QUINZE DE OUTUBRO
13399,525.1,,Miranda,ALBERTINA FORTAREL PROF
13341,413.4,31/01/2017,Vitorino Freire,BENEDITO STORANI ETE
13342,469.1,01/02/2017,Medianeira,DIOGENES DUARTE PAES
13289,,,,JERONIMO DE CAMARGO
13240,475.8,03/02/2017,,GETULIO NOGUEIRA DE SA 
13176,398.2,04/02/2017,Rio de Janeiro,
13343,514.8,05/02/2017,Belem,CESAR LACERDA DE VERGUE
13241,518.6,06/02/2017,Rolim de Moura,CESARIO COIMBRA DOUTOR
13344,,07/02/2017,Contagem,ALBERTO FERES PREFEITO 
